,gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
4063,2019-07-31 14:52:35.000,99.5,30.996103136896828,1.9760272377607968,2.0318473840568507,0.2215329362502628,436.7630137669461,422.2252857363729,0.1620047232768148,160.8,50.74874391936469,15812.969675834463,1.1,138.4,43.663585,-79.36772166666667,1007.3,9.88163473596967,24.70617628151999,14.4,26.88152570766314,22.3,223.4,8.9,0.9,9.5
4064,2019-07-31 14:52:36.000,99.9,30.99808538281128,1.981519742186552,2.014375743330678,0.2125269447719277,436.8544694532753,418.4849152128426,0.1479844509059419,161.6,50.6608283594793,15956.882729677363,1.1,148.9,43.663540000000005,-79.3677,1007.2,9.88274349062733,24.708841531245124,14.8,26.88372820312365,22.3,210.7,5.5,0.6,8.8
4065,2019-07-31 14:52:37.000,99.8,30.998934767145816,1.982987070277282,2.020545655081588,0.2281231216876343,436.1126780707945,420.0913785766408,0.2826272941837981,159.2,50.60638037258654,15864.762854502356,1.1,155.7,43.66350333333333,-79.36768000000002,1007.2,9.87936641490743,24.70997939034901,14.8,26.88467661303904,22.3,200.9,7.4,0.7,8.9
4066,2019-07-31 14:52:38.000,99.6,31.000742782797797,1.980329753040143,2.017587878339385,0.3030241352451177,434.3947667314084,419.2519395037397,0.0932435743119826,159.4,50.65787539479816,15838.53382156559,1.1,175.3,43.66346666666666,-79.36766166666666,1007.3,9.878524148175911,24.708028608601104,15.3,26.885871391398897,22.3,216.8,4.4,0.3,8.8
4067,2019-07-31 14:52:39.000,100.0,31.00230916085276,1.976782433332561,2.018534076276524,0.4264432299863631,433.5061293604315,419.80397061466687,0.1526165226655677,161.1,50.72040545737368,15936.085463660773,1.1,180.4,43.66343,-79.367645,1007.3,9.881812555910743,24.70679122383741,15.3,26.88751755232518,22.3,187.5,3.3,0.9,10.2
4068,2019-07-31 14:52:40.000,100.9,31.00434466400447,1.9751492782709428,2.020346664140164,0.4359095873522786,432.6009883266383,421.1575505965029,0.2859018957883346,162.1,50.80614540161736,15944.86792553681,1.1,182.0,43.663395,-79.36763166666667,1007.3,9.881679041077424,24.70769869391596,15.1,26.888593246261063,22.3,161.6,358.8,1.1,9.8
4069,2019-07-31 14:52:41.000,101.0,31.007391497408623,1.979337026544692,2.006052429886452,0.4369584721798322,432.6554735607745,420.7484058689066,0.2177510728026823,162.9,50.78957290819762,16011.04863183854,1.1,168.1,43.663363333333336,-79.36762333333333,1007.3,9.881540394429672,24.709004251295685,15.1,26.89012945207085,22.3,128.0,351.6,0.7,9.5
4070,2019-07-31 14:52:42.000,100.8,31.00849565586459,1.9866895570979035,2.0293432145906687,0.2643822300133049,432.5481205622238,425.8326702793976,0.4235429516017827,162.6,50.64167736805309,15857.806287671328,1.1,168.3,43.66331666666667,-79.36760166666667,1007.3,9.880353293054355,24.71078175463128,16.1,26.89234348379689,22.3,89.4,343.1,1.3,9.4
4071,2019-07-31 14:52:43.000,100.8,31.01055364011734,1.980256193197914,2.0173570593345778,0.2533268353247734,430.6997636422946,424.5318955209473,0.3281684612587682,163.6,50.63477126371839,15864.859363536909,1.1,168.2,43.66326833333334,-79.36758333333333,1007.3,9.88154958540691,24.707047955558014,17.0,26.89341072802347,22.3,66.3,346.5,1.2,9.4
4072,2019-07-31 14:52:44.000,100.6,31.011897623871214,1.9765387511583128,2.0217310557321397,0.160504382901311,429.4922611856561,426.8462590383752,0.1936952629844735,164.3,50.66170571024951,15758.361153500524,1.1,157.3,43.66322166666666,-79.36756833333334,1007.3,9.882569476874648,24.70144643580682,17.5,26.894467820965897,22.3,75.2,351.7,0.9,9.4
4073,2019-07-31 14:52:45.000,99.3,31.01098507999524,1.973996834228228,2.0039538083732498,0.104516546561183,427.8346181944483,424.5547411457647,0.3228414562544617,163.5,50.81390571822048,16042.063235691438,1.1,162.4,43.66317333333333,-79.36755666666667,1007.4,9.88255138975843,24.70557833002502,18.3,26.895963987504462,22.3,3.0,0.4,0.7,8.3
4074,2019-07-31 14:52:46.000,98.3,31.014590298194616,1.9846811791931172,2.0219089703850543,0.2735147038112494,427.9888479061461,429.2088031129365,0.1777713359859371,164.6,50.68874874595581,15859.864566398875,1.1,167.5,43.66312833333333,-79.36754333333333,1007.4,9.881658128963045,24.70894118302809,18.8,26.89680840242456,22.3,308.2,3.2,0.7,10.3
4075,2019-07-31 14:52:47.000,97.5,31.01905990930044,1.985232802021952,2.022524944823054,0.341832020779311,426.7257157013967,429.50590073076575,0.4008224406801885,164.2,50.52579771318194,15828.353345430647,1.1,167.1,43.66308166666666,-79.36752666666666,1007.4,9.881656912868966,24.70878851312171,19.2,26.898311260129383,22.3,193.9,3.7,0.5,10.7
4076,2019-07-31 14:52:48.000,97.3,31.020099579936048,1.9742385110654377,2.022616779060036,0.2191339440943118,423.9933827166868,429.8516986532082,0.2239131519156601,162.1,50.68853850833576,15784.883424049389,1.1,166.0,43.66304,-79.36751333333333,1007.4,9.881481890287777,24.70640294044765,17.2,26.89955708284801,22.3,339.9,2.7,0.7,7.4
4077,2019-07-31 14:52:49.000,97.7,31.020908804996303,1.979037763402512,2.0146100153805944,0.230630607326119,423.9142165900665,430.1417453335884,0.3996834812420855,161.0,50.65611608148079,15913.348679218056,1.1,170.6,43.66301166666667,-79.36749833333333,1007.4,9.880774486328654,24.70582641498892,14.8,26.901578686096748,22.3,354.2,348.9,0.5,6.3
4078,2019-07-31 14:52:50.000,98.1,31.022242314612814,1.9762065090822984,2.0162780272572,0.186660435581525,422.5687559433863,430.1874022703893,0.4119389167067802,162.5,50.72382958252966,15829.2689437052,1.1,167.3,43.66298333333334,-79.36749,1007.4,9.881358341994952,24.707412262643107,14.0,26.90445457725593,22.3,353.0,358.5,0.7,6.6
4079,2019-07-31 14:52:51.000,99.1,31.022961575204675,1.9804832735900493,2.0177552431793178,0.1100223353890955,422.1939144514057,431.3812002491131,0.3348290725668137,163.1,50.6876555452728,15834.29111489952,1.1,164.7,43.66295166666666,-79.36747166666666,1007.4,9.88004687293576,24.70634534549716,13.8,26.90546157520468,22.3,210.6,5.2,0.6,8.5
4080,2019-07-31 14:52:52.000,98.8,31.024572973598687,1.9798896839285751,2.01293,0.114407082761045,420.9604728024542,430.582,0.397289,163.5,50.70168685408506,16031.8,1.1,166.4,43.66291333333334,-79.36746166666667,1007.4,9.881310368411029,24.70405286428921,14.0,26.90594043260763,22.3,183.2,359.4,0.5,9.0
4081,2019-07-31 14:52:52.900,98.7,31.026563739189758,1.9757120480602075,2.0182462669048613,0.096011580980569,419.5791180379817,431.58027678546847,0.36278052082422,161.7,50.77005495675901,15821.90590664509,1.1,152.9,43.662875,-79.36744666666667,1007.5,9.880726614220013,24.696692419074445,14.8,26.90770174944436,22.3,152.9,357.3,0.4,8.3
4082,2019-07-31 14:52:54.000,99.3,31.0272,1.9810631199481123,2.0159866847376446,0.0311421810440741,419.3484652374344,431.20421691212334,0.2285332918068999,156.8,50.67366430057583,15967.601043020935,1.1,141.2,43.662835,-79.36742166666667,1007.5,9.881203250294655,24.7037999614098,14.6,26.909303485904115,22.3,130.7,354.3,0.3,8.5
4083,2019-07-31 14:52:55.000,99.6,31.02850405818465,1.9822408721411744,2.015208871204112,0.0,418.1227461791963,430.7308700667128,0.2149120550107542,153.7,50.693078954345225,15985.677196602384,1.1,141.0,43.662803333333336,-79.3674,1007.5,9.880433846105491,24.70739188363069,13.8,26.910482434910797,22.3,155.6,357.6,1.0,9.9
4084,2019-07-31 14:52:56.000,98.8,31.03264541313057,1.9870140733495607,2.016586095585577,0.155329162617858,417.9447933520752,430.9831318008335,0.2332911540329931,159.0,50.61393569932639,15781.527796658354,1.1,161.3,43.66277166666666,-79.36738333333334,1007.5,9.8819617891914,24.705801226165544,14.0,26.9109,22.3,160.4,1.6,1.5,10.3
4085,2019-07-31 14:52:57.000,98.3,31.034742465613757,1.970151240963656,2.013061921674216,0.2057097788369258,414.9703574742171,429.4869840640442,0.3505177181553309,167.5,50.969090241342585,15869.203638522822,1.1,148.4,43.66273166666666,-79.36737333333333,1007.5,9.881621507489008,24.703850685685733,15.0,26.91240684870052,22.3,178.1,0.8,1.1,10.5
