,gps_time,alt,amb,ch4,ch4d,ch4cal,co,co2,co2d,co2cal,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
0,2020-08-06 18:36:53.099999905,57.8,24.2427839611,1.9691459416,1.99770561346,1.99544760693,0.106530890991,397.947317645,398.907602145,409.446883892,0.109635997614,0.0,50.5209530165,13447.8729898,0.0,50.4,43.6606383333,-79.3990666667,1007.4,9.86929667755,24.6343145657,0.0,21.6863270049,23.2,297.7,250.4,0.6,1.2
1,2020-08-06 18:36:54.099999905,82.1,24.2418220233,1.96736435995,2.00039848019,1.99322220747,0.00368426067162,397.097939122,399.229069082,408.020315255,0.0,0.0,50.5644870177,13330.9171017,2.7,50.4,43.6606233333,-79.3990366667,1007.5,9.86953077888,24.6376159355,0.0,21.6871586392,23.2,306.8,256.7,0.6,1.1
2,2020-08-06 18:36:55.099999905,82.8,24.2473999272,1.97039749454,2.00035763915,1.99165220722,0.00692489568389,396.949408868,398.821088711,407.218737939,0.0,0.0,50.4934691855,13279.533381,2.7,50.4,43.6606383333,-79.399025,1007.5,9.86887158078,24.6352500364,0.0,21.6885093682,23.2,306.9,257.3,0.9,2.0
3,2020-08-06 18:36:56.099999905,81.8,24.2528665502,1.96935978892,1.99830588126,1.99480830803,0.0,396.431292562,398.891442913,407.086750994,0.0,0.0,50.4997061367,13307.1966746,2.7,50.4,43.6606533333,-79.3990116667,1007.3,9.86624318702,24.6342002936,0.0,21.6894000419,23.2,316.7,273.3,1.4,2.9
4,2020-08-06 18:36:57.099999905,79.4,24.2517667794,1.96784029831,2.00186127783,1.99363131239,0.0,396.224408176,399.303369444,406.5307103,0.166577481753,0.0,50.5565271749,13289.6486268,2.7,50.5,43.6606616667,-79.399005,1007.4,9.86420334394,24.6367663418,0.0,21.6904667595,23.2,306.1,257.7,1.0,1.9
5,2020-08-06 18:36:58.099999905,78.9,24.2558767522,1.97100272912,1.99805647205,1.99240529604,0.0,396.628918439,398.116337366,406.397585911,0.0512512961489,109.0,50.4897578164,13427.0983101,2.7,50.5,43.6606733333,-79.3990016667,1007.4,9.86679062686,24.6345319408,0.1,21.6917572103,23.2,343.5,290.7,0.7,1.3
6,2020-08-06 18:36:59.099999905,79.0,24.258913734,1.96946648075,1.99905871875,1.9953237292,0.0431128622312,396.171836192,398.086975798,406.720312694,0.0,112.8,50.5143960051,13357.785359,2.7,50.4,43.660685,-79.3990016667,1007.5,9.86875996668,24.6356458632,0.1,21.6928779923,23.2,302.0,243.9,0.5,0.8
7,2020-08-06 18:37:00.099999905,79.5,24.2585718995,1.96876940047,2.00208500666,1.99366799739,0.0603712493555,396.503081297,398.682676002,406.262020195,0.0262821050422,107.9,50.5299886483,13338.1920716,2.7,50.6,43.6607133333,-79.39899,1007.5,9.86708173096,24.6331015362,0.1,21.6941640689,23.2,214.2,168.8,0.6,1.3
8,2020-08-06 18:37:01.099999905,80.4,24.2642570994,1.97020572877,1.99693017838,1.993074448,0.0,396.057153005,397.795721527,406.607194487,0.00685937807601,110.6,50.5042140825,13475.7091976,2.7,50.4,43.660725,-79.3989816667,1007.6,9.86785714864,24.6367570593,0.1,21.6951857091,23.2,222.7,170.0,0.6,1.2
9,2020-08-06 18:37:02.099999905,80.2,24.2679143514,1.96915853324,1.99954676271,1.99453315241,0.0341971945277,395.600660944,398.271094709,406.158700388,0.0,107.5,50.5366274093,13297.2199505,2.7,50.4,43.6607383333,-79.3989733333,1007.5,9.86712572907,24.6421859935,0.1,21.6961713834,23.2,219.1,169.1,0.7,1.3
10,2020-08-06 18:37:03.099999905,81.9,24.2680874217,1.96932299517,2.00167279598,1.99357173475,0.0663479263913,396.27639542,397.588418672,405.744880987,0.0,103.9,50.5263394051,13327.1894546,2.7,50.3,43.6607683333,-79.3989633333,1007.5,9.86846051409,24.6404295342,0.1,21.6972984016,23.2,257.1,208.7,0.7,1.4
11,2020-08-06 18:37:04.099999905,87.0,24.2724231001,1.96910228677,1.99934444983,1.99376704313,0.0278319757131,395.806998155,397.44785238,406.407967636,0.021914004254,108.6,50.5016020913,13367.7208245,2.7,50.4,43.6608083333,-79.398945,1007.5,9.86998656985,24.6394434117,0.1,21.6979889147,23.2,257.9,210.1,0.9,1.7
12,2020-08-06 18:37:05.099999905,89.6,24.2746763667,1.96917050042,2.00166968779,1.99343540031,0.0,395.389563498,398.03296881,405.879151847,0.14354841851,107.8,50.5297882567,13343.006247,2.7,50.5,43.66084,-79.3989283333,1007.4,9.86812730973,24.639142378,0.1,21.698718976,23.2,266.4,220.2,0.9,1.9
13,2020-08-06 18:37:06.099999905,91.7,24.2746873459,1.97060391051,2.00435012523,1.99342382771,0.0630144001327,395.965579274,398.279362918,405.468826272,0.179899168573,113.1,50.5223088617,13255.8113873,2.7,50.3,43.6608666667,-79.39891,1007.4,9.86685872089,24.6386848331,0.1,21.7002905437,23.3,284.5,236.1,1.5,3.1
14,2020-08-06 18:37:07.099999905,91.6,24.2793554635,1.9705021299,1.99693813727,1.99493250888,0.0913021841485,396.157076051,397.248644412,406.074068643,0.0202596633141,112.9,50.5175530444,13405.1803975,2.7,50.3,43.660875,-79.3988916667,1007.4,9.86995578162,24.6382156988,0.1,21.7020380706,23.3,320.4,272.9,1.5,2.9
15,2020-08-06 18:37:08.099999905,89.6,24.2833353881,1.96877513387,1.99948783072,1.99459825329,0.0226311326238,395.683845892,397.90606279,406.214836424,0.0,113.2,50.5539961082,13346.048426,2.7,50.3,43.6608766667,-79.398875,1007.6,9.86977638239,24.6393680989,0.1,21.7030580428,23.3,332.7,288.4,0.8,1.3
16,2020-08-06 18:37:09.099999905,87.6,24.2862308179,1.9717023774,2.00293267946,1.99292931928,0.0324241080599,395.86623774,398.164038121,405.744459313,0.0786056019805,114.9,50.5226297386,13346.1613231,2.7,50.2,43.6608816667,-79.39886,1007.5,9.866803842,24.6349153717,0.1,21.7050769703,23.3,325.7,270.0,1.1,2.4
17,2020-08-06 18:37:10.099999905,85.6,24.2924611011,1.97137330141,1.99806621663,1.99581212929,0.0286790563658,396.022916501,397.37171354,405.926154395,0.0602360034549,110.2,50.5091965867,13421.6942295,2.7,50.3,43.6608866667,-79.3988433333,1007.4,9.86729846307,24.6404703992,0.0,21.7059715369,23.3,296.3,218.6,0.4,1.0
18,2020-08-06 18:37:11.099999905,84.2,24.2965355247,1.96876683958,2.0038636621,1.99545066991,0.112251076247,395.877665868,398.425849762,406.093365069,0.13417434042,111.1,50.5390422188,13298.9523372,2.7,50.1,43.6608966667,-79.3988283333,1007.6,9.86773841979,24.6420074188,0.0,21.7058386007,23.3,248.9,198.8,1.1,2.3
19,2020-08-06 18:37:12.099999905,83.6,24.2982563537,1.97108139143,2.00343603007,1.99302222941,0.0895690651131,395.985072337,397.667093765,405.966827424,0.254667687884,115.4,50.5172419868,13293.4127082,2.7,50.2,43.66091,-79.3988133333,1007.6,9.86854130091,24.6404313411,0.0,21.7066500251,23.3,255.4,204.7,1.2,2.2
