,gps_time,alt,amb,ch4,ch4d,ch4cal,co,co2,co2d,co2cal,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
0,2020-08-05 14:13:36.400000095,125.7,23.2612171926,1.97089328256,1.99186736105,1.99347568166,0.0594050819986,397.233296802,396.240577099,407.53530002,0.0509570758548,13.5,50.4689687131,13249.5567445,1.6,322.1,43.66115,-79.3989083333,1003.3,9.86497046789,24.6385640551,0.0,21.2976343748,21.7,106.1,147.0,0.7,1.6
1,2020-08-05 14:13:37.400000095,125.9,23.2607314718,1.96701752798,1.99501579585,1.99479413618,0.004249695287,395.941713371,397.02609425,407.265196865,0.307514243991,117.8,50.5618334671,13290.2525614,1.8,321.9,43.6611483333,-79.398905,1003.3,9.86641631608,24.6474843727,0.0,21.2985906494,21.7,102.7,140.0,0.9,1.7
2,2020-08-05 14:13:38.400000095,126.2,23.2617714255,1.96840285204,1.99518691676,1.99077019755,0.0,395.674571423,397.435887306,405.919486398,0.462217342094,252.5,50.5020144685,13359.1495805,1.8,322.0,43.6611466667,-79.3989033333,1003.4,9.86664000027,24.644128584,0.0,21.2993999986,21.7,143.1,181.0,0.6,1.1
3,2020-08-05 14:13:39.400000095,126.4,23.2686002667,1.97027148884,1.99294699214,1.99256600318,0.0,394.940398887,397.35285012,405.742913686,0.372523587959,329.7,50.4815568623,13348.6258862,1.8,322.0,43.661145,-79.3989016667,1003.4,9.86726288312,24.638742677,0.0,21.300528613,21.7,155.2,196.8,0.7,1.5
4,2020-08-05 14:13:40.400000095,126.7,23.2698777788,1.96574663811,1.99461000968,1.99430606904,0.407375770726,394.103329057,397.014247794,404.930208708,0.0719479897997,180.6,50.5558671182,13324.3261789,1.8,322.0,43.661145,-79.3988966667,1003.2,9.86650777262,24.6392444519,0.0,21.3015888942,21.7,155.9,192.2,1.0,1.9
5,2020-08-05 14:13:41.400000095,127.0,23.2716812146,1.96938038472,1.99441146533,1.98975139792,0.0501341228305,393.805597889,396.660595643,404.125970606,0.210679214391,90.3,50.4900436823,13451.2086742,1.8,322.0,43.661145,-79.398895,1003.5,9.86566079593,24.6451889475,0.0,21.3027687288,21.7,143.0,181.0,0.8,1.4
6,2020-08-05 14:13:42.400000095,127.1,23.2773242106,1.97039645317,1.99168090441,1.99379598605,0.0,393.525337909,396.834512878,403.862333125,0.0906251729478,81.1,50.5070936311,13430.2624426,1.8,322.1,43.6611466667,-79.39889,1003.4,9.86511032114,24.6440612845,0.0,21.3034516146,21.7,122.4,160.0,0.5,1.0
7,2020-08-05 14:13:43.400000095,127.1,23.2762593873,1.96748564866,1.99401272558,1.99458223862,0.161398207332,392.36929033,397.956632093,403.569458888,0.242451134004,14.6,50.5419341144,13412.8478604,1.8,322.0,43.6611466667,-79.398885,1003.3,9.86643842654,24.6394594106,0.0,21.304496867,21.7,130.6,171.3,0.6,1.2
8,2020-08-05 14:13:44.400000095,126.9,23.2784809591,1.9708276293,1.99342203054,1.99153589371,0.240201888767,393.315812513,397.263485847,402.345527713,0.0,120.4,50.4749188499,13461.3872816,1.8,322.1,43.6611466667,-79.39888,1003.4,9.86711333483,24.6471904992,0.0,21.3050761918,21.7,142.9,181.0,0.5,1.1
9,2020-08-05 14:13:45.400000095,126.6,23.2833620574,1.96577173691,1.99245580123,1.99513411786,0.213635573032,392.110864447,397.383786612,403.37532789,0.0615024179402,319.1,50.5434975484,13348.2277867,1.8,322.1,43.6611516667,-79.3988766667,1003.4,9.86736857875,24.6435998718,0.0,21.3067190995,21.7,161.3,198.6,0.5,1.0
