gps_time,alt,amb,ch4,ch4d,ch4cal,co,co2,co2d,co2cal,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2021-08-11 15:22:16.800,115.7,35.0215884053,1.96944401018,2.0173773421,2.01262733793,0.112611105089,421.793975891,432.533917492,437.680105825,0.204230833482,258.6,50.5297661784,25264.9125865,0.9,55.9,43.6646333333,-79.4583283333,997.4,9.89724198062,24.7570062802,0.0,30.0259681163,30.4,285.7,227.9,1.5,3.0
2021-08-11 15:22:17.800,115.6,35.0282551045,1.97272527605,2.02055228302,2.01580227885,0.178652412336,421.911970274,432.732372008,437.878560341,0.114010558646,250.3,50.4455339557,25161.8099365,0.9,55.8,43.6646333333,-79.4583283333,997.5,9.89746754544,24.7564287413,0.0,30.0281946153,30.4,267.6,212.4,1.7,3.4
2021-08-11 15:22:18.800,115.6,35.0254201321,1.96349457183,2.02367860474,2.01892860057,0.171048648914,420.349228786,432.802997798,437.949186131,0.184158500353,244.8,50.5946118151,25121.795971,0.9,56.2,43.6646333333,-79.4583283333,997.5,9.89741254826,24.7560145615,0.0,30.0295526752,30.4,274.6,215.9,1.7,3.1
2021-08-11 15:22:19.800,115.7,35.0261863387,1.97033903959,2.01388270338,2.00913269921,0.157417553912,421.367393887,431.145577058,436.291765391,0.175201741311,230.4,50.542984951,25309.0931712,0.9,55.9,43.6646333333,-79.4583266667,997.6,9.89389418997,24.7656512432,0.0,30.0319635698,30.4,273.9,216.6,1.5,3.2
2021-08-11 15:22:20.800,115.8,35.029546768,1.97469252062,2.02149647046,2.01674646629,0.210117543059,421.576931332,432.308102642,437.454290975,0.161511853728,253.2,50.4472092836,25160.5095306,0.9,56.0,43.6646333333,-79.458325,997.6,9.89070978757,24.7621579289,0.0,30.033673384,30.4,270.1,216.3,1.9,3.6
2021-08-11 15:22:21.800,115.8,35.0264,1.96372,2.02573,2.02097999583,0.145799,420.285,432.46,437.606188333,0.216404,257.9,50.6017,25057.9,0.9,56.1,43.6646333333,-79.458325,997.6,9.89795,24.7592,0.0,30.0359,30.4,289.7,240.7,1.5,3.1
2021-08-11 15:22:22.800,115.9,35.0283194836,1.9701285684,2.01430302507,2.0095530209,0.104302656226,421.608330442,431.110557653,436.256745986,0.148868091804,256.0,50.5126940769,25268.3438071,0.9,56.4,43.6646333333,-79.458325,997.5,9.89426458575,24.7650371368,0.0,30.0375355222,30.4,305.2,245.9,1.7,3.2
2021-08-11 15:22:23.800,115.9,35.0355092326,1.97110413045,2.0212216121,2.01647160793,0.0739213594168,421.108887117,432.529693166,437.675881499,0.106486232515,272.5,50.4559102012,25188.789026,0.9,56.3,43.6646333333,-79.4583233333,997.6,9.89814553956,24.7673532085,0.0,30.0397406888,30.4,297.2,241.5,1.4,2.5
2021-08-11 15:22:24.800,115.9,35.0327793138,1.96632251222,2.02203153739,2.01728153322,0.15385620114,420.146376559,431.990228809,437.136417142,0.0758667744804,256.0,50.5935266714,25101.9070373,0.9,56.2,43.6646316667,-79.4583233333,997.5,9.89646,24.7685399797,0.0,30.041057106,30.4,317.7,265.1,1.2,2.4
2021-08-11 15:22:25.800,115.9,35.0353838226,1.96768652627,2.01694222896,2.01219222479,0.189896480594,421.088272956,430.961183543,436.107371876,0.157718718728,211.7,50.5306710451,25289.4980642,0.9,56.0,43.6646316667,-79.4583233333,997.5,9.89643811636,24.7548151244,0.0,30.0428846167,30.4,307.5,248.8,2.3,5.0
2021-08-11 15:22:26.800,115.9,35.0414016934,1.96968730032,2.01876892276,2.01401891859,0.157710080822,420.518706541,432.003982627,437.15017096,0.194301864744,245.9,50.449429062,25123.3748386,0.9,56.1,43.6646316667,-79.4583216667,997.5,9.89565682508,24.7649023052,0.0,30.0457625587,30.4,300.4,241.9,3.3,6.6
2021-08-11 15:22:27.800,115.9,35.0393474571,1.96554022123,2.02027294257,2.0155229384,0.148590852828,419.595993554,431.31854905,436.464737383,0.161488827004,246.2,50.5779333888,25068.6185262,0.9,56.2,43.66463,-79.4583216667,997.5,9.8945959313,24.7565186427,0.0,30.0472660997,30.4,306.8,249.5,3.0,5.5
2021-08-11 15:22:28.800,116.0,35.0404727254,1.97030826864,2.01607758265,2.01132757848,0.130909664442,420.376392278,430.384571368,435.530759701,0.152422756865,244.5,50.5179590472,25177.3998975,0.9,56.2,43.66463,-79.4583216667,997.5,9.89549961388,24.7585904087,0.0,30.04934122,30.4,268.7,210.4,2.4,4.4
2021-08-11 15:22:29.800,116.0,35.046769869,1.97087745267,2.02123675961,2.01648675544,0.10812106612,420.267511585,431.23336043,436.379548763,0.133730329689,261.3,50.4671406006,25098.071347,0.9,56.2,43.66463,-79.4583216667,997.5,9.89543552569,24.76570739,0.0,30.051231609,30.4,281.1,222.7,2.0,4.0
2021-08-11 15:22:30.800,116.0,35.0435236746,1.96588214222,2.02160746564,2.01685746147,0.0608538197395,419.52143352,431.085676129,436.231864462,0.110804135975,267.1,50.5814333352,25095.740014,0.9,56.2,43.66463,-79.45832,997.5,9.89376904853,24.7574427742,0.0,30.0533013072,30.4,273.5,219.2,2.1,3.7
2021-08-11 15:22:31.800,116.1,35.0465230613,1.9710166305,2.01667316405,2.01192315988,0.151710302025,420.775839266,430.368426502,435.514614835,0.0649798225496,255.8,50.4958610533,25100.391363,0.9,56.2,43.66463,-79.45832,997.6,9.89892215278,24.7554711082,0.0,30.0551702112,30.4,274.3,215.8,1.9,3.4
2021-08-11 15:22:32.800,116.2,35.0535321935,1.9691746314,2.02175809648,2.01700809231,0.232939186698,420.148336239,431.609560527,436.75574886,0.15551706203,97.2,50.4852503053,25013.6381221,0.9,56.1,43.6646283333,-79.45832,997.5,9.89575565727,24.755970732,0.0,30.0570829281,30.4,268.6,217.6,1.4,2.6
2021-08-11 15:22:33.800,116.3,35.0515852609,1.96636234368,2.01962122159,2.01487121742,0.0826674846964,419.653703691,430.918859113,436.065047446,0.235605954103,342.7,50.5576065193,25105.8088897,0.9,56.0,43.66463,-79.45832,997.6,9.89409973045,24.7565426305,0.0,30.0590694131,30.4,280.6,223.0,1.9,3.6
2021-08-11 15:22:34.800,116.4,35.0540325905,1.97106295266,2.0169529526,2.01220294843,0.157965188968,419.43267967,430.462128135,435.608316468,0.084147116407,275.6,50.4999635097,25050.9245132,0.9,55.9,43.66463,-79.4583183333,997.5,9.89450760446,24.7584582172,0.0,30.0608309192,30.4,273.0,222.5,2.0,3.6
2021-08-11 15:22:35.800,116.4,35.0594274087,1.96922559042,2.02165970081,2.01690969664,0.206612243452,418.822025827,430.187499205,435.333687538,0.164018816908,257.0,50.518876206,24986.2916109,0.9,55.9,43.66463,-79.4583183333,997.6,9.89485832947,24.7642355477,0.0,30.0629730187,30.4,268.8,217.5,1.4,2.9
2021-08-11 15:22:36.800,116.3,35.0605089311,1.96682387336,2.0196686471,2.01491864293,0.17549454966,418.570996148,429.553263603,434.699451936,0.21177181159,249.9,50.5592275159,25062.0301397,0.9,55.6,43.66463,-79.4583183333,997.4,9.89540648772,24.7602156717,0.0,30.0645958353,30.4,281.0,219.7,1.6,3.4
2021-08-11 15:22:37.800,116.3,35.0642658993,1.97027657291,2.01739843129,2.01264842712,0.109537419589,418.514364891,429.331151746,434.477340079,0.1798108011,246.2,50.505042711,25033.559251,0.9,57.1,43.66463,-79.4583183333,997.5,9.89517211423,24.7581201193,0.0,30.066701023,30.4,251.9,187.1,2.2,4.3
2021-08-11 15:22:38.800,116.3,35.0700695066,1.96874865459,2.02085059603,2.01610059186,0.121364858658,417.900170741,429.249988698,434.396177031,0.112139040902,254.3,50.518148663,24991.2405467,0.9,57.2,43.66463,-79.4583183333,997.5,9.89538631081,24.7584010606,0.1,30.0686430713,30.4,237.2,182.5,2.5,4.9
2021-08-11 15:22:39.800,116.3,35.0670701526,1.9672475987,2.0191998205,2.01444981633,0.193206171453,418.389298906,428.612952421,433.759140754,0.125171787316,280.7,50.5558208267,25022.3371188,0.9,56.3,43.66463,-79.4583166667,997.5,9.89528600985,24.7521882855,0.0,30.0700779623,30.4,243.0,186.5,2.3,4.3
2021-08-11 15:22:40.800,116.2,35.069684096,1.96978197163,2.01786685558,2.01311685141,0.0578052275959,419.720728773,429.176302144,434.322490477,0.193226888711,65.5,50.4969638705,24979.0028666,0.9,54.5,43.66463,-79.458315,997.5,9.89672998909,24.7516480393,0.0,30.0723560276,30.4,244.6,190.7,1.7,3.0
2021-08-11 15:22:41.800,116.1,35.0741271199,1.96829750922,2.02022950006,2.01547949589,0.0251418365766,420.246002066,430.478461734,435.624650067,0.0586305479499,246.0,50.5037000445,24945.5546974,0.9,56.2,43.66463,-79.458315,997.6,9.89594330187,24.753251659,0.0,30.0743728801,30.4,249.3,187.4,1.0,2.0
2021-08-11 15:22:42.800,116.1,35.0739583745,1.96874552486,2.01865034748,2.01390034331,0.0672787103018,420.506498982,430.994199477,436.14038781,0.0249795634957,66.1,50.5219114568,25025.8612242,0.9,54.4,43.66463,-79.4583133333,997.4,9.89539548997,24.7538899244,0.1,30.0765075749,30.4,236.6,186.4,1.2,2.2
2021-08-11 15:22:43.800,116.1,35.0773903462,1.96749320928,2.0192606088,2.01451060463,0.008427573946,420.233156727,431.297327535,436.443515868,0.0700052169329,57.9,50.5159954596,24987.9582018,0.9,51.8,43.66463,-79.4583133333,997.4,9.89597245956,24.7580727605,0.7,30.0782345973,30.4,253.2,220.7,1.6,2.0
2021-08-11 15:22:44.800,116.1,35.0736196398,1.96139477444,2.01741087876,2.01266087459,0.0798692517332,419.171304274,430.91578231,436.061970643,0.0101753386351,59.9,50.6996847423,24866.4954008,0.9,48.1,43.6646316667,-79.4583133333,997.4,9.89693542969,24.7556129993,2.4,30.0801309028,30.4,266.6,236.3,2.4,3.3
2021-08-11 15:22:45.800,116.2,35.0775956495,1.96701327793,2.01156802103,2.00681801686,0.170512025403,419.803243791,429.885648508,435.031836841,0.0840882543924,56.6,50.6691517019,24919.4133259,0.9,36.5,43.6646383333,-79.4583016667,997.5,9.89708413211,24.7667891414,3.5,30.0819217349,30.4,280.7,298.1,2.0,3.2
2021-08-11 15:22:46.800,116.3,35.0786288185,1.96492955082,2.01723105874,2.01248105457,0.0968696364146,418.791803177,430.518127636,435.664315969,0.174344434083,35.9,50.7550268382,24895.5699675,0.9,16.4,43.6646516667,-79.4582966667,997.5,9.89667037523,24.7607115218,4.0,30.0841628261,30.4,280.1,323.0,2.0,5.3
2021-08-11 15:22:47.800,116.4,35.080283734,1.97385230753,2.01535820608,2.01060820191,0.0801682001173,419.92274542,429.528673621,434.674861954,0.0989099052165,4.0,50.5252645663,25008.5068304,0.9,347.5,43.6646683333,-79.4583033333,997.4,9.8963402658,24.7565004977,5.0,30.0861350207,30.4,269.4,320.5,2.7,6.4
2021-08-11 15:22:48.800,116.6,35.0837724375,1.96876335028,2.02439553791,2.01964553374,0.05710515324,418.12695709,430.659786878,435.805975211,0.0823015307471,334.1,50.5491589447,24793.6016122,0.9,325.3,43.6646833333,-79.4583183333,997.3,9.89452118435,24.7595669684,5.7,30.0877291561,30.4,273.4,332.3,2.8,7.9
2021-08-11 15:22:49.800,116.9,35.0828438556,1.96707825277,2.01877288585,2.01402288168,0.0548769681621,417.83413873,428.74881392,433.895002253,0.0577697300829,320.4,50.6036284042,24855.4526675,0.9,320.8,43.6647,-79.458335,997.3,9.89488826383,24.7607971811,6.6,30.0899264939,30.4,269.5,352.4,0.8,5.8
2021-08-11 15:22:50.800,117.0,35.0819327874,1.97052861406,2.01723491955,2.01248491538,0.111584250621,418.043519096,428.489884374,433.636072707,0.0571172780544,319.6,50.5225891356,24943.0560097,0.9,323.2,43.6647183333,-79.45835,997.5,9.89544291335,24.7597963462,7.4,30.0914658267,30.4,317.6,354.2,2.4,8.5
2021-08-11 15:22:51.800,117.5,35.0839935031,1.97019109346,2.02101543592,2.01626543175,0.0541633394265,416.855885732,428.698112034,433.844300367,0.109517413604,318.8,50.5133379014,24727.874281,0.9,323.5,43.6647366667,-79.4583616667,997.4,9.89599426637,24.7621641578,7.7,30.093559502,30.4,283.0,333.6,3.8,11.1
2021-08-11 15:22:52.800,117.9,35.0848509595,1.96623533175,2.02010456288,2.01535455871,0.142235632966,416.202509595,427.419797439,432.565985772,0.0564092414012,322.0,50.5588979054,24749.0517625,0.9,325.4,43.6647533333,-79.4583716667,997.3,9.89584143108,24.7556591622,7.5,30.0953775743,30.4,252.9,309.9,3.9,9.5
2021-08-11 15:22:53.800,117.6,35.0821914257,1.96724562697,2.0161763556,2.01142635143,0.142679715585,415.82108587,426.765909963,431.912098296,0.145343784212,323.7,50.5582518752,24815.2598182,0.9,323.1,43.6647683333,-79.45839,997.3,9.89646595908,24.7578340826,7.5,30.0972171486,30.4,274.6,352.1,2.0,6.7
2021-08-11 15:22:54.800,117.1,35.0837769455,1.96886785988,2.01730357733,2.01255357316,0.126808696784,415.300615758,426.397765574,431.543953907,0.14648307333,317.9,50.5327858956,24757.0806909,0.9,314.5,43.6647816667,-79.4584116667,997.3,9.8949785166,24.7613303745,7.4,30.0997507782,30.4,280.0,340.1,3.2,9.9
2021-08-11 15:22:55.800,116.8,35.0861858503,1.96847553103,2.01887959276,2.01412958859,0.0960742309225,414.802491149,425.84363864,430.989826973,0.129214117785,309.0,50.5344260868,24756.743855,0.9,302.2,43.6647866667,-79.4584366667,997.4,9.89119717006,24.7600237732,7.2,30.1019284898,30.3,318.7,20.0,3.0,10.6
2021-08-11 15:22:56.800,115.8,35.0868401038,1.96880341892,2.01834015846,2.01359015429,0.096241825389,414.442095478,425.309588719,430.455777052,0.0995363848122,287.3,50.500485494,24793.3269908,0.9,273.3,43.6647766667,-79.4584716667,997.3,9.89352832126,24.7640339434,7.5,30.1036731321,30.2,303.0,26.4,3.3,9.9
