,gps_time,alt,amb,ch4,ch4d,ch4cal,co,co2,co2d,co2cal,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
0,2021-07-15 16:23:40.900,29.8,24.9138941083,2.05486295367,2.09795666263,2.08961859217,0.0210623731756,392.315585991,400.024518998,404.664356783,0.0,0.0,50.5696338086,19348.4720975,5.7,341.4,43.6598416667,-79.39958,1001.5,9.87155823249,24.6383032423,0.0,21.6502969949,22.0,122.9,143.1,2.3,4.4
1,2021-07-15 16:23:41.900,29.4,24.9199744013,2.05915156025,2.0974747445,2.08948039695,0.0658767492892,392.710587902,399.531739044,404.975884535,0.0,0.0,50.4989963886,19516.7174031,5.7,341.7,43.6598416667,-79.3995766667,1001.5,9.87083819941,24.6439644009,0.0,21.6516768004,22.0,119.6,137.8,2.1,4.3
2,2021-07-15 16:23:42.900,29.6,24.9238875932,2.05636947014,2.10076296712,2.09379712417,0.0821537039126,392.28310392,400.21374389,405.367749974,0.151988439059,0.0,50.5234780255,19338.8705302,5.7,341.7,43.6598233333,-79.3995883333,1001.5,9.87062038551,24.6453272252,0.0,21.653480184,22.0,133.0,159.8,1.9,3.1
3,2021-07-15 16:23:43.900,29.4,24.9261641815,2.05409359415,2.10189843236,2.09081595505,0.07512224056,392.446027078,400.642754251,404.913010384,0.072506072378,250.4,50.5766093899,19215.0737246,24.8,341.6,43.6597833333,-79.3996416667,1001.5,9.87110891332,24.6450804466,0.0,21.6553740461,22.0,154.3,174.2,2.4,5.4
4,2021-07-15 16:23:44.900,29.5,24.932195373,2.05865569228,2.09475542848,2.08880216239,0.178550352373,392.87575226,399.345777953,405.124165443,0.0690873418419,310.7,50.4971725984,19445.4008097,24.7,341.6,43.6597833333,-79.39964,1001.7,9.86891257983,24.6445362814,0.0,21.6571316544,22.1,151.9,168.1,2.9,7.0
5,2021-07-15 16:23:45.900,29.5,24.9367188625,2.05751499349,2.09968851042,2.09346722167,0.10123812557,392.277986218,400.653863126,405.572537842,0.0113099164046,326.4,50.5174969386,19455.905389,24.7,341.5,43.659785,-79.3996333333,1001.7,9.868887018,24.6437391121,0.1,21.6585877946,22.1,150.8,170.7,3.8,7.7
6,2021-07-15 16:23:46.900,29.5,24.9395371376,2.05681974766,2.10249555046,2.09177837719,0.056479290854,392.357871911,400.667803039,404.860132143,0.26433332298,327.7,50.576033487,19305.4581507,24.6,341.5,43.6597933333,-79.39962,1001.6,9.86849668844,24.6409514495,0.1,21.6604433116,22.1,154.4,170.6,4.0,7.5
7,2021-07-15 16:23:47.900,29.4,24.9441577814,2.0605855359,2.0972831089,2.09163123391,0.0733680359236,393.08411987,399.210102886,405.062726824,0.244060390263,336.2,50.493029069,19465.9770937,24.5,341.6,43.6598,-79.3996083333,1001.6,9.86780383928,24.6373464289,0.1,21.661978189,22.1,148.8,168.4,3.9,8.4
8,2021-07-15 16:23:48.900,29.3,24.9474568473,2.05716831889,2.10025274341,2.09569443913,0.0168061772819,392.059717315,400.612674724,405.830569298,0.320515109787,343.7,50.5174186474,19484.9084528,24.4,341.5,43.65981,-79.3995916667,1001.6,9.87026387172,24.6466469288,0.1,21.663531954,22.1,151.6,168.3,4.4,8.3
9,2021-07-15 16:23:49.900,29.2,24.9486114505,2.05576554067,2.10446327344,2.0918117028,0.0,392.045145538,400.947777711,404.711613687,0.178632771067,348.7,50.5713620713,19415.4993067,24.3,341.5,43.65981,-79.3995916667,1001.6,9.87025625123,24.6473521888,0.3,21.6649985136,22.1,146.2,168.5,4.3,8.6
10,2021-07-15 16:23:50.900,29.3,24.9526193835,2.05764015069,2.09812852693,2.09073311225,0.204691759058,392.953446574,399.395521263,404.776152711,0.0130075502425,346.5,50.515442055,19565.4871909,24.2,341.5,43.65981,-79.39959,1001.6,9.86984799999,24.6434059589,0.1,21.6663567123,22.1,148.2,168.8,4.2,8.1
11,2021-07-15 16:23:51.900,29.5,24.9590812015,2.05443772422,2.09953637901,2.09261181176,0.274207235641,392.371833866,400.720977902,405.699753528,0.0144234648646,351.8,50.5256420651,19555.77332,24.2,341.2,43.6598066667,-79.399595,1001.6,9.87017363186,24.6415401539,0.3,21.6678268541,22.1,145.7,163.1,4.0,7.7
12,2021-07-15 16:23:52.900,29.6,24.961956143,2.05475959382,2.10392441081,2.08919020023,0.130835937027,392.280775726,400.410991523,405.068047351,0.151897457461,352.3,50.5539524139,19454.8763565,24.1,341.2,43.659805,-79.3995966667,1001.7,9.87157782116,24.6429177266,0.3,21.6695667177,22.2,144.8,162.3,4.1,8.2
13,2021-07-15 16:23:53.900,29.6,24.9649877054,2.05670828351,2.10050451644,2.08980527595,0.031258812559,392.930113837,400.291553619,405.022389478,0.120401459253,352.5,50.5133758862,19668.1475974,24.0,341.1,43.6598083333,-79.39959,1001.6,9.87125405466,24.645255593,0.3,21.6709272421,22.2,144.5,162.7,3.9,7.7
14,2021-07-15 16:23:54.900,29.6,24.9707209827,2.05447831231,2.10032,2.09183179969,0.207545522808,392.405301489,400.365418735,405.709051274,0.0623595613684,352.5,50.532063362,19624.4973253,23.9,341.1,43.659815,-79.3995783333,1001.6,9.86954927432,24.6433270579,0.3,21.6727115695,22.2,147.9,164.6,3.5,6.3
15,2021-07-15 16:23:55.900,29.7,24.9737460296,2.05529943805,2.1046897972,2.08953812395,0.142901369092,392.307797886,400.547248887,405.150563513,0.0663976795735,352.6,50.5579997421,19727.5363763,23.8,341.2,43.6598183333,-79.3995716667,1001.6,9.86909267273,24.6409701099,0.3,21.6742838605,22.2,141.6,159.2,3.3,5.4
16,2021-07-15 16:23:56.900,29.8,24.9771446957,2.05914985868,2.10270504536,2.09047936459,0.140094981258,392.692644998,400.249997208,405.07411918,0.00108034454015,359.0,50.5075426228,19702.5672714,23.8,341.3,43.6598233333,-79.3995633333,1001.5,9.868303469,24.6442351046,0.5,21.6758904089,22.2,154.9,178.1,2.4,4.5
17,2021-07-15 16:23:57.900,29.8,24.9840174617,2.05672077327,2.09996,2.09434631859,0.19792406324,392.493809834,400.033,405.459080747,0.0,357.8,50.5233586258,19709.1,23.7,341.6,43.6598266667,-79.3995583333,1001.6,9.87041384115,24.6452646144,0.5,21.6778481614,22.2,158.6,166.6,2.5,4.5
18,2021-07-15 16:23:58.900,29.6,24.9879616302,2.05515535099,2.10449818598,2.09164126351,0.108728348098,393.051699665,401.029502473,405.240024692,0.0161449490535,358.5,50.5565976909,19618.1117543,23.6,341.6,43.659845,-79.3995366667,1001.6,9.87119418411,24.6387662638,0.3,21.6793290717,22.2,140.9,157.9,2.6,5.4
19,2021-07-15 16:23:59.900,29.6,24.9917574225,2.05957574059,2.10392816556,2.0905664712,0.141526043875,393.187030519,400.491912602,405.875436634,0.485729751637,359.1,50.4968306186,19627.2565419,23.5,341.5,43.6598466667,-79.3995316667,1001.5,9.87035601095,24.6418248632,0.7,21.6808191408,22.3,142.6,159.3,3.5,6.6
20,2021-07-15 16:24:00.900,29.7,24.9987576884,2.05661398473,2.09910211653,2.09513495791,0.0571881524683,392.632142674,400.358515415,405.99048026,0.0105698240131,350.0,50.5100852809,19761.1730282,23.4,341.5,43.65986,-79.3995116667,1001.5,9.86995978033,24.6386180865,0.7,21.6827656334,22.3,140.2,154.6,3.1,5.9
21,2021-07-15 16:24:01.900,29.8,25.0006613871,2.05558960157,2.10596652677,2.09187644075,0.0,392.720157894,401.128835395,405.409179234,0.211164393428,354.9,50.5346316773,19626.6799571,23.4,341.4,43.6598816667,-79.3994733333,1001.5,9.86970821815,24.6366425726,0.7,21.6840732661,22.3,140.9,163.2,3.3,5.4
22,2021-07-15 16:24:02.900,29.8,25.0025151536,2.05678949225,2.10334266503,2.09110941104,0.0,392.477225423,400.35907636,405.559222912,0.0890826325428,355.6,50.5089759258,19672.2554343,23.3,341.4,43.65989,-79.3994633333,1001.6,9.87046606145,24.6409891535,0.5,21.6856963845,22.3,146.1,165.3,2.9,5.6
23,2021-07-15 16:24:03.900,29.7,25.0084902694,2.05577391683,2.0978774499,2.09208109078,0.178838421837,392.00742569,399.536817601,405.240854831,0.12696274541,149.2,50.5392876061,19865.2913447,23.2,341.3,43.6598916667,-79.3994616667,1001.6,9.86778029091,24.6420871044,0.3,21.6873693434,22.3,144.3,157.7,2.6,5.3
24,2021-07-15 16:24:04.900,29.7,25.0099764028,2.05854370257,2.10426622078,2.09110280139,0.0632182198541,392.605832201,400.744182491,404.793609663,0.0121450758909,169.9,50.5462776548,19740.7566882,23.1,341.4,43.6598916667,-79.39946,1001.6,9.86901586686,24.6382844187,0.5,21.6892211925,22.3,136.4,152.5,2.6,5.4
25,2021-07-15 16:24:05.900,29.7,25.0121962028,2.05843692232,2.10375350671,2.09433681192,0.106863157596,392.820042718,400.509002207,405.484958996,0.145052757405,173.9,50.5105261433,19752.1220511,23.1,341.4,43.6598933333,-79.39946,1001.5,9.87081596926,24.6402450162,0.3,21.6904488134,22.3,125.6,150.3,2.4,4.3
26,2021-07-15 16:24:06.900,29.7,25.0208272018,2.05856954498,2.10009050892,2.09421013145,0.154428764893,392.291972932,400.025494892,405.703392595,0.269141393782,240.0,50.5335925436,19841.6994331,23.0,341.5,43.6598933333,-79.3994583333,1001.6,9.8693769798,24.642819845,0.1,21.692523814,22.3,110.3,124.2,1.9,3.3
