,gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
0,2023-09-19 17:01:38.900,65.7,26.6887062074,2.02521937926,2.04895632367,0.289788026171,428.00735914,432.637012153,0.145999240789,0.0,50.6060341061,10447.348711,2.8,105.4,43.6612016667,-79.3991133333,1003.8,7.80469326572,14.6882392564,0.0,23.9589739256,22.5,289.7,197.2,2.2,3.4
1,2023-09-19 17:01:39.900,65.2,26.6891278573,2.03049600992,2.04956847584,0.148988777315,428.519297573,432.407597309,0.189757377193,0.0,50.540719059,10457.0664267,2.8,105.6,43.6611933333,-79.3991116667,1003.8,7.80385562116,14.6928288512,0.0,23.9598761181,22.5,304.5,184.4,2.8,5.2
2,2023-09-19 17:01:40.900,65.1,26.692290556,2.0249007276,2.04435570365,0.103693341682,427.848498234,431.309670876,0.648151008903,0.0,50.6028074814,10525.6563679,2.8,105.7,43.6611883333,-79.3991083333,1003.8,7.80660865238,14.6858283321,0.0,23.9605571569,22.5,293.2,203.0,3.9,5.5
3,2023-09-19 17:01:41.900,67.5,26.6904238902,2.02566311911,2.04479845549,0.0268743576294,427.81073481,432.090987484,0.315751246496,0.0,50.6027978392,10420.9823079,2.5,105.8,43.6611316667,-79.3990216667,1003.8,7.80510560751,14.7110021608,0.0,23.9604706192,22.5,300.6,188.0,3.7,7.4
4,2023-09-19 17:01:42.900,68.0,26.6900838326,2.02920463204,2.04698742367,0.0,427.505642527,432.21117198,0.0767495733612,290.6,50.5472069624,10510.1662947,2.5,105.5,43.6611316667,-79.399025,1003.9,7.80348684585,14.7020013884,0.0,23.9614483039,22.5,305.1,196.6,3.5,7.2
5,2023-09-19 17:01:43.900,68.0,26.6924749847,2.02506878198,2.04640447558,0.241424628272,427.216126343,432.894273805,0.045242143427,294.9,50.6077245175,10504.8421307,2.5,105.5,43.6611316667,-79.3990266667,1003.9,7.80374937178,14.6930875317,0.1,23.9624312451,22.5,281.9,197.7,2.0,6.4
6,2023-09-19 17:01:44.900,68.2,26.691045573,2.02778113263,2.04803734061,0.488094031721,427.748184651,434.925353627,0.21702472804,303.7,50.5871658872,10459.9063924,2.5,105.3,43.6611316667,-79.3990283333,1003.8,7.80590400489,14.7097527118,0.1,23.9630071723,22.5,263.5,164.9,1.3,3.7
7,2023-09-19 17:01:45.900,68.3,26.6945485144,2.03003198005,2.04638671601,0.145630277328,427.736866352,436.332089245,0.473963434287,308.1,50.5264644444,10397.7203455,2.5,105.3,43.6611333333,-79.3990316667,1003.7,7.80694582502,14.7004737638,0.1,23.9634290429,22.5,259.2,148.2,1.6,3.1
8,2023-09-19 17:01:46.900,68.4,26.6912858556,2.02495589883,2.04372859864,0.00891483634652,426.836029874,436.689597635,0.491291794056,311.0,50.6496810963,10446.8911788,2.5,105.0,43.6611333333,-79.3990333333,1003.8,7.80059022251,14.6871432162,0.1,23.9640142681,22.5,252.5,156.0,2.1,3.8
9,2023-09-19 17:01:47.900,68.4,26.6906,2.03043249118,2.04986022401,0.0,427.710935758,438.799383271,0.280217941459,308.8,50.6003673281,10388.5959624,2.5,105.2,43.661135,-79.3990366667,1003.9,7.80422193462,14.6983810006,0.1,23.965280091,22.5,260.8,132.0,1.3,3.1
