gps_time, lat, lon, alt, temp, wd_corr, ws_corr, pressure, hdop, lgr_time, ch4_d, co2_d, co_d, h2o, avg, comp_time;
2017-06-28 20:09:34.600000,43.665348333333334,-79.39925272727274,119.736,23.7,39.809,1.1,1003.445,1.0,2017-06-28 20:09:42.369000,1.863,409.74,1.949,12139.81,10,2017-06-28 16:09:42.243495;
2017-06-28 20:09:45.100000,43.66534883333333,-79.39925783333335,120.36,23.7,63.51,2.88,1003.39,1.01,2017-06-28 20:09:52.322500,1.864,408.002,1.905,12137.653,10,2017-06-28 16:09:52.236500;
2017-06-28 20:09:55.100000,43.665350499999995,-79.39925533333334,120.86,23.7,64.89,3.19,1003.32,1.03,2017-06-28 20:10:02.275500,1.861,403.774,1.861,12094.864,10,2017-06-28 16:10:02.233545;
2017-06-28 20:10:05.100000,43.66535133333333,-79.39925183333332,120.87,23.7,82.9,2.41,1003.37,1.0,2017-06-28 20:10:12.228500,1.861,404.925,1.798,12038.794,10,2017-06-28 16:10:12.243327;
2017-06-28 20:10:15.100000,43.665344833333336,-79.39925350000001,121.21,23.7,64.51,3.38,1003.38,1.0,2017-06-28 20:10:22.182500,1.861,413.313,1.824,12091.941,10,2017-06-28 16:10:22.238854;
2017-06-28 20:10:25.100000,43.665343166666666,-79.39925650000002,121.36,23.75,45.72,1.66,1003.39,1.0,2017-06-28 20:10:32.135500,1.861,411.861,1.8,12076.326,10,2017-06-28 16:10:32.220560;
2017-06-28 20:10:35.100000,43.665347499999996,-79.39925083333333,121.72,23.8,69.74,2.22,1003.42,1.0,2017-06-28 20:10:42.090000,1.861,412.458,1.823,12067.656,10,2017-06-28 16:10:42.239392;
2017-06-28 20:10:45.100000,43.66535249999999,-79.39924349999998,122.17,23.8,80.85,2.19,1003.39,1.0,2017-06-28 20:10:52.043000,1.861,411.406,1.795,12085.199,10,2017-06-28 16:10:52.242558;
2017-06-28 20:10:55.100000,43.66535449999999,-79.39924233333332,121.97,23.72,63.47,3.57,1003.36,1.0,2017-06-28 20:11:01.996000,1.863,413.935,1.876,12183.591,10,2017-06-28 16:11:02.245274;
2017-06-28 20:11:05.100000,43.66535133333333,-79.39924399999998,121.84,23.72,42.01,2.56,1003.3,1.0,2017-06-28 20:11:11.950000,1.862,409.158,1.838,12119.173,10,2017-06-28 16:11:12.252248;
2017-06-28 20:11:14.650000,43.66535,-79.39923833333333,122.133,23.8,167.156,1.756,1003.289,1.0,2017-06-28 20:11:21.903500,1.863,406.456,1.763,12087.348,10,2017-06-28 16:11:21.252388;
2017-06-28 20:11:24.100000,43.66535,-79.3992335,121.65,23.88,306.1,0.8,1003.36,1.06,2017-06-28 20:11:31.857000,1.862,406.473,1.777,12086.234,10,2017-06-28 16:11:31.256683;
2017-06-28 20:11:34.100000,43.66535,-79.39922983333334,121.46,23.89,67.01,2.26,1003.36,1.03,2017-06-28 20:11:41.810500,1.865,406.889,1.729,12160.951,10,2017-06-28 16:11:41.244727;
2017-06-28 20:11:44.150000,43.66534633333333,-79.399233,120.88,23.75,64.3,3.95,1003.33,1.0,2017-06-28 20:11:51.763000,1.866,409.607,1.766,12166.991,10,2017-06-28 16:11:51.257148;
2017-06-28 20:11:54.200000,43.665340166666674,-79.39923983333333,120.44,23.78,60.85,3.07,1003.3,1.0,2017-06-28 20:12:01.717000,1.867,412.935,2.048,12117.697,10,2017-06-28 16:12:01.258636;
2017-06-28 20:12:04.200000,43.665338500000004,-79.39924849999997,120.66,23.85,75.02,1.02,1003.29,1.03,2017-06-28 20:12:11.670000,1.872,424.79,3.363,12104.902,10,2017-06-28 16:12:11.251774;
2017-06-28 20:12:14.200000,43.66533466666668,-79.39925066666669,120.86,23.9,98.46,1.36,1003.29,1.0,2017-06-28 20:12:21.624000,1.873,424.394,2.667,12140.601,10,2017-06-28 16:12:21.242553;
