gps_time,alt,amb,ch4,ch4d,ch4cal,co,co2,co2d,co2cal,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-07-24 15:20:24.300000,128.6,21.9960957109,1.97396776667,2.02356745633,2.10519230297,1.58776395128,426.75192074,437.47479728,432.844201698,1.62765506653,30.0,140.716714599,24510.9257654,1.2,273.1,43.66128,-79.3988266667,1002.4,6.47965704873,7.24730885968,0.0,21.2957544473,21.2,183.0,258.9,0.8,1.6
2018-07-24 15:20:25.300000,128.4,22.0029985435,1.96928154399,2.01873441389,2.10025210272,1.27806511821,426.485164272,437.195111893,432.566295211,1.31016614949,165.7,140.716517155,24496.842386,1.6,273.0,43.6612766667,-79.3988216667,1002.4,6.48259040412,7.24945384675,0.0,21.296024226,21.2,183.0,269.8,0.6,0.7
2018-07-24 15:20:26.300000,128.4,22.0102241443,1.96274540285,2.01183006372,2.09319466987,1.09909587632,426.904143021,437.580191573,432.948925646,1.12658378996,94.4,140.718842601,24397.9261929,1.6,272.9,43.6612716667,-79.39882,1002.4,6.48437253765,7.25024895419,0.0,21.2975833175,21.2,163.4,280.1,0.6,1.7
2018-07-24 15:20:27.300000,128.5,22.0160328268,1.96142279675,2.01047643844,2.09181103212,1.07388683102,428.473074607,439.188973095,434.547474741,1.1007438894,107.2,140.727242378,24399.062076,1.2,272.9,43.6612716667,-79.39882,1002.4,6.47981165156,7.24918733158,0.0,21.2983636753,21.2,197.5,290.5,1.0,1.9
2018-07-24 15:20:28.300000,128.7,22.0219808629,1.95888427848,2.00799338476,2.08927292437,1.17616579309,430.32401865,441.112246445,436.458515385,1.20565212003,155.7,140.735129696,24456.7403409,1.2,272.9,43.66127,-79.39882,1002.4,6.47936288945,7.24921717819,0.0,21.2991976185,21.3,204.7,286.7,0.9,1.5
2018-07-24 15:20:29.300000,128.8,22.027716993,1.957324132,2.00654947196,2.08779699726,1.41233632136,431.919999348,442.782508621,438.118154095,1.44786534929,186.3,140.75746992,24532.3125409,1.2,273.0,43.6612683333,-79.3988233333,1002.3,6.47514566374,7.24978057735,0.0,21.3000332525,21.3,216.2,311.4,0.7,1.4
2018-07-24 15:20:30.300000,129.3,22.0349135798,1.95615782255,2.00527608157,2.08649537336,1.3928487911,433.701493297,444.591418939,439.915559096,1.42783461829,126.0,140.754269426,24494.4516306,1.6,273.0,43.661265,-79.3988283333,1002.4,6.47682079972,7.24630767753,0.0,21.3006499805,21.3,228.1,312.1,0.7,1.5
2018-07-24 15:20:31.300000,129.8,22.0417703909,1.95631915676,2.00530427321,2.08652419007,1.09393274211,433.62490557,444.482502424,439.807335329,1.12132275621,359.9,140.742279226,24427.5467663,1.2,273.0,43.6612616667,-79.398835,1002.4,6.48126483869,7.24854381655,0.0,21.3020119783,21.3,239.6,332.4,1.0,1.9
2018-07-24 15:20:32.300000,130.6,22.0493767917,1.95833203304,2.00741156034,2.08867819979,1.08189853476,433.835830577,444.70847261,440.031868264,1.10901487808,142.8,140.738077674,24449.0105652,1.2,273.0,43.6612583333,-79.3988383333,1002.4,6.48045942988,7.2516338268,0.0,21.3035011636,21.3,245.6,327.1,1.2,2.6
2018-07-24 15:20:33.300000,131.7,22.055228362,1.95844494714,2.00772231208,2.08899584149,1.23870468745,433.895979848,444.813432088,440.136160163,1.26987597189,344.5,140.740886839,24544.0431526,1.2,273.1,43.661255,-79.398845,1002.4,6.48081910114,7.25261387122,0.0,21.3039667759,21.3,225.4,307.6,1.3,2.9
2018-07-24 15:20:34.300000,133.4,22.0618291725,1.95650128062,2.00586866474,2.08710109524,1.13371070158,433.105902512,444.034282534,439.361966279,1.16231624023,186.4,140.734146463,24611.6412342,1.2,273.0,43.6612533333,-79.3988566667,1002.4,6.48144027766,7.25344058502,0.0,21.3047267156,21.3,212.4,298.2,1.9,3.8
2018-07-24 15:20:35.300000,135.0,22.0694657234,1.95271568905,2.00203027394,2.08317759995,1.09432420699,432.336500249,443.254902832,438.58754371,1.12196128554,6.4,140.716174858,24632.3888638,1.2,272.9,43.6612516667,-79.39887,1002.4,6.48053718311,7.25152295943,0.0,21.3060640144,21.3,207.9,304.7,2.0,3.2
2018-07-24 15:20:36.300000,136.3,22.0761283496,1.94997768486,1.99909250092,2.08017469087,1.08716102354,431.398139181,442.263960863,437.602904487,1.1145466164,165.3,140.707220474,24568.5837817,1.2,272.9,43.6612516667,-79.3988816667,1002.4,6.47586398289,7.25066855036,0.0,21.3074541385,21.3,212.1,293.7,1.5,3.2
